Cutoff,downstream_distance,time,radius,cutlen,,,,,,,,,,,,,
265,137036.2772,978.5,409.6503688,4560.274477,,,,,,,,,,,,,
266,15324.07357,982.5,332.7594671,3917.595105,,,,,,,,,,,,,
267,340998.7578,983,372.8677709,4465.144125,,,,,,,,,,,,,
268,226123.9181,984.5,286.3002662,3115.815046,,,,,,,,,,,,,
269,282282.8633,985,517.074037,6361.395144,,,,,,,,,,,,,
270,63572.03137,987,371.9770425,4763.40866,,,,,,,,,,,,,
271,135091.5523,990,237.2269316,4917.344032,,,,,,,,,,,,,
272,65810.39631,992,299.2703278,9367.635749,,,,,,,,,,,,,
273,192124.7155,994.5,241.5287863,6163.299726,,,,,,,,,,,,,
274,222837.1235,997,281.144577,2863.196268,,,,,,,,,,,,,
275,18983.52237,1001,417.4704615,6663.772682,,,,,,,,,,,,,
276,93955.33211,1005,376.9971276,4110.490121,,,,,,,,,,,,,
277,365472.2322,1007.5,358.4676328,3810.389112,,,,,,,,,,,,,
278,169956.928,1011.5,436.6046522,5261.152707,,,,,,,,,,,,,
279,321535.2465,1022.5,348.7637567,4111.67785,,,,,,,,,,,,,
280,382224.0623,1026.5,466.3608522,9014.977998,,,,,,,,,,,,,
281,296689.4353,1028,279.7652315,3361.540141,,,,,,,,,,,,,
282,287163.5277,1031,697.1782577,9861.662049,,,,,,,,,,,,,
283,92916.23063,1038,276.0024263,21135.03746,,,,,,,,,,,,,
284,250956.8625,1038.5,561.1338062,7566.509156,,,,,,,,,,,,,
285,47593.13228,1048.5,315.5200909,3410.488478,,,,,,,,,,,,,
286,331248.3833,1049,422.3500831,5163.134728,,,,,,,,,,,,,
287,57763.27383,1050,428.3976897,4810.743937,,,,,,,,,,,,,
288,104058.1692,1056.5,520.5636862,6712.52223,,,,,,,,,,,,,
289,167057.9991,1058,658.554404,8611.828889,,,,,,,,,,,,,
290,289655.4014,1059.5,240.7445145,2510.442,,,,,,,,,,,,,
291,150198.8184,1062.5,456.4161398,5162.910369,,,,,,,,,,,,,
292,297496.5965,1064,345.5809614,3710.748815,,,,,,,,,,,,,
293,218955.6626,1068,356.9591568,4063.231752,,,,,,,,,,,,,
294,33916.3402,1071.5,311.0076358,3511.429385,,,,,,,,,,,,,
295,80100.54477,1073.5,306.888893,3661.967086,,,,,,,,,,,,,
296,211307.7944,1077,242.8966337,2710.607688,,,,,,,,,,,,,
297,157536.9093,1085,275.2961822,6269.341892,,,,,,,,,,,,,
298,77439.20879,1086.5,218.6845982,8418.753527,,,,,,,,,,,,,
299,135184.6216,1103.5,819.5432213,15262.88085,,,,,,,,,,,,,
300,162961.2975,1106,407.7362585,10167.06223,,,,,,,,,,,,,
301,205606.1006,1110,226.4957553,2208.234327,,,,,,,,,,,,,
302,181904.9079,1111.5,350.4971656,4061.666688,,,,,,,,,,,,,
303,48740.35808,1113,516.5926484,6812.314651,,,,,,,,,,,,,
304,29002.45011,1115,350.6266152,3860.819536,,,,,,,,,,,,,
305,324535.2246,1115.5,343.5737137,3760.784368,,,,,,,,,,,,,
306,359611.5969,1121.5,251.4304581,2559.544843,,,,,,,,,,,,,
307,50901.27004,1124.5,260.9520935,2866.389387,,,,,,,,,,,,,
308,234131.6533,1135.5,350.1050677,3911.131866,,,,,,,,,,,,,
309,114696.6825,1151.5,487.0894854,7664.041175,,,,,,,,,,,,,
310,25442.1192,1155.5,467.9287717,6811.281971,,,,,,,,,,,,,
311,332248.0731,1160,385.163993,19738.69536,,,,,,,,,,,,,
312,180454.1978,1161.5,286.8332136,11367.95713,,,,,,,,,,,,,
313,306954.2105,1164,502.1265768,7215.34186,,,,,,,,,,,,,
314,287361.9829,1168,498.3629587,6410.591926,,,,,,,,,,,,,
315,38978.62314,1168.5,295.5503511,3362.051908,,,,,,,,,,,,,
316,253170.7583,1175,586.5989662,7361.327075,,,,,,,,,,,,,
317,30352.07647,1177.5,252.9795439,2861.521321,,,,,,,,,,,,,
