Cutoff,downstream_distance,time,radius,cutlen,,,
251,270178.738,956.5,428.7931689,4709.062134,,,
252,179375.2488,965.5,465.0771567,5359.409394,,,
253,210749.5362,968,624.6906611,8960.421486,,,
254,363893.3286,968.5,401.2830842,5111.789545,,,
255,62587.01098,970,226.7055733,2558.608974,,,
256,196110.4627,971,431.4319787,4960.15335,,,
257,223591.2619,974.5,616.1086217,8412.111159,,,
258,352861.4969,978.5,212.863084,10917.17686,,,
259,173962.3411,983,546.9841662,6410.091593,,,
260,359136.25,984,394.8949149,4364.0619,,,
261,238195.288,985.5,534.4862654,6659.441468,,,
262,221985.4123,987,190.526882,9423.537837,,,
263,377327.9479,994.5,207.9189782,2106.185316,,,
264,157097.952,998,406.8980211,10514.90637,,,
265,124538.366,1001,312.8831987,10765.51514,,,
266,37207.59849,1016.5,467.5700217,9564.507669,,,
267,94597.9752,1019,397.4696759,5509.514551,,,
268,20632.05454,1020,266.4955977,2708.536748,,,
269,193703.7861,1032.5,365.8898549,4311.561495,,,
270,265388.7819,1033,260.0142785,2758.69941,,,
271,11965.82674,1039,474.2306692,5810.481736,,,
272,229282.9135,1041.5,527.3912121,6359.186184,,,
273,152325.8001,1049,442.8220855,5710.906767,,,
274,298556.768,1057.5,320.5432505,3709.940778,,,
275,216758.5459,1059.5,424.1784945,5111.243879,,,
276,306260.4309,1065,392.2993916,4309.855902,,,
277,241518.2983,1067,344.9011932,3660.222062,,,
278,256000.5054,1069,516.1622323,5059.757728,,,
279,187261.3243,1076,666.4925333,9010.494034,,,
280,418601.4725,1090.5,541.5441816,5909.246062,,,
281,109254.1695,1096,374.00118,4111.310675,,,
282,121987.201,1097,430.113192,4809.402403,,,
283,345189.9618,1098.5,579.46566,7209.785263,,,
284,413005.4769,1101.5,286.3008851,3160.571037,,,
285,305811.8894,1102.5,246.4675265,19579.17269,,,
286,235173.6416,1103,326.4141873,3560.823174,,,
287,162091.0788,1111,452.613844,5510.239209,,,
288,382612.0298,1125,332.1991725,8265.645066,,,
289,377097.952,1128.5,464.0130843,4966.448347,,,
290,176865.2442,1141,242.544282,2607.930439,,,
291,163194.3792,1149.5,356.300738,4561.36132,,,
292,311859.3082,1155,506.3119558,6659.333145,,,
293,181783.2507,1156,384.2199388,5161.153989,,,
294,186632.4401,1158,337.4860466,3712.173032,,,
295,197957.6083,1161,438.9494356,5409.964947,,,
296,247371.5045,1162,472.3803651,5710.082843,,,
297,16009.99189,1164,355.3684709,3909.64718,,,
298,65600.87086,1165.5,636.5808087,8660.403722,,,
299,42813.90488,1166.5,297.6996369,3409.941649,,,
300,48971.54047,1171,733.7090274,11711.65444,,,
301,138366.1125,1172.5,325.1849017,3810.899646,,,
302,92389.86041,1174,568.2973778,7062.582909,,,
303,100858.3313,1176,446.0258805,5059.921982,,,
304,250494.5168,1182.5,456.7734924,5009.754189,,,
305,321107.989,1187,526.9311733,6560.170146,,,
306,24829.24924,1196,334.2304697,3659.491748,,,
307,88086.10258,1200,417.6505239,5461.509879,,,
308,210085.8309,1205.5,630.978484,6858.865627,,,
309,276883.7412,1207,400.8119853,4309.163258,,,
310,270656.1137,1209,548.703803,6412.902422,,,
311,224075.1184,1219.5,356.0350525,4361.104522,,,
312,113986.113,1227,265.0400323,3009.384727,,,
313,416037.0813,1229,295.5932529,3360.043552,,,
314,314391.4057,1236,542.3318481,15419.6714,,,
315,315131.7602,1237.5,174.8633997,6680.044469,,,
316,354349.7817,1245.5,735.3856853,10111.34977,,,
317,6854.287064,1248,417.5808543,5161.505409,,,
318,207613.701,1253,540.1003375,6559.607341,,,
319,50636.48615,1255.5,273.3260859,3210.13185,,,
320,28198.16288,1257,323.5115184,3360.67852,,,
321,368605.1037,1261.5,343.1457073,3960.244444,,,
322,195528.1235,1263,378.4292922,4109.278656,,,
323,245568.9809,1264.5,350.0058782,3759.450599,,,
324,18023.42969,1270,296.8248909,3359.778359,,,
325,162712.3375,1273.5,476.8663463,6161.203451,,,
326,208362.1746,1276,468.0424091,6211.566121,,,
327,266872.5733,1280.5,392.6155116,5611.321637,,,
328,364638.3752,1282,349.1867672,4010.376281,,,
329,181546.3452,1288,223.0131513,2408.016153,,,
330,230490.5337,1293.5,215.3048793,6659.740888,,,
331,265537.6748,1299,642.1211472,8310.251863,,,
332,335363.6467,1299.5,462.218221,5760.907759,,,
333,298079.9466,1302.5,385.7336939,4660.560965,,,
334,386070.7304,1311.5,660.3144517,8159.698637,,,
335,66708.47959,1313.5,383.6225614,12474.35642,,,
336,140492.33,1316.5,310.683607,3409.248276,,,
337,156258.3652,1320,364.5559871,10767.86901,,,
338,304955.8809,1325,573.0269946,6960.024452,,,
339,224872.3119,1325.5,426.2818003,5061.862284,,,
340,291775.0425,1336,359.3989575,4259.8212,,,
341,250492.4567,1340.5,385.4802804,4911.480424,,,
342,8559.970207,1341.5,292.3797041,3309.459455,,,
343,407848.9109,1345.5,271.9753197,3059.325447,,,
344,78628.00518,1346,512.7102537,19977.69117,,,
345,86294.66147,1346.5,415.1856251,5628.453781,,,
346,255241.7142,1354,255.5006886,2859.436572,,,
347,247095.9936,1365,287.6126078,3510.316254,,,
348,360766.0055,1366,328.0796699,3509.453812,,,
349,111931.7732,1371,584.1153166,5709.384772,,,
350,20776.54647,1371.5,291.061807,3159.921907,,,
351,173575.378,1382,418.5407135,5309.796341,,,
352,324457.6987,1387,410.6045077,4609.537522,,,
353,281404.6236,1392,503.239773,5359.60178,,,
354,333188.1081,1392.5,371.0085705,4059.999621,,,
355,102353.1634,1395,318.8209898,3560.197321,,,
356,37340.50419,1404,229.5232849,2608.582316,,,
357,218795.838,1410.5,415.4552602,5060.331894,,,
358,229559.6633,1417.5,399.0545401,5110.700444,,,
359,102348.0361,1421.5,280.8233828,3109.535291,,,
360,256672.4688,1423.5,275.905457,7717.966075,,,
361,76948.59174,1433,555.3749462,7059.981001,,,
362,34031.88038,1441.5,479.6137179,5709.944732,,,
363,240824.5095,1452.5,240.8415408,2457.532988,,,
364,247392.4309,1453.5,247.2020183,2708.697313,,,
365,306943.1049,1454.5,390.2424001,4309.314509,,,
366,421236.9506,1462.5,530.9505905,7261.057655,,,
367,93478.53177,1466.5,334.9054191,3609.772265,,,
368,193139.7547,1477,327.5388086,12121.91603,,,
369,28974.31569,1478,259.7704084,2909.36628,,,
370,42846.64872,1479.5,497.6232949,6610.28696,,,
371,192816.2875,1480,528.7543181,6718.416985,,,
372,203322.1013,1480.5,487.4670201,5663.089068,,,
373,102567.9899,1483,272.9227098,3009.184543,,,
374,422001.9277,1485,457.7007287,19176.19161,,,
375,220815.0989,1485.5,334.9813946,3609.639136,,,
376,397620.2636,1486,298.9454856,3412.858576,,,
377,81373.51019,1487.5,422.987275,4810.169123,,,
378,275170.435,1494,243.3819661,2758.740706,,,
379,4981.965966,1499.5,571.3757631,7161.752397,,,
380,299315.3967,1500,361.4660233,4010.720062,,,
381,352865.3233,1510,325.6776988,3810.126351,,,
382,337772.019,1514.5,495.5357717,16426.8589,,,
383,301770.6946,1520.5,355.8904122,4210.236845,,,
384,64682.38734,1522.5,355.1076858,4561.244071,,,
385,352090.7168,1525,410.101501,4512.282105,,,
386,117079.6849,1533.5,478.9520328,13322.54876,,,
387,317038.6671,1534.5,575.6393349,7761.02225,,,
388,181780.1305,1535,358.8705337,4411.660719,,,
389,366007.8134,1540.5,557.0231202,7309.991022,,,
390,232469.5334,1549.5,306.6837624,3359.299602,,,
391,375205.9964,1561.5,698.1654292,10061.09749,,,
392,353044.4268,1568.5,563.3657202,8812.707429,,,
393,102470.3535,1570.5,247.6470373,2708.938175,,,
394,10257.62858,1577.5,329.460952,12273.95953,,,
395,39756.04689,1579.5,436.8353682,4558.904939,,,
396,269682.964,1580,679.8437591,7362.262489,,,
397,82357.88955,1587,338.1428518,3609.603188,,,
398,31062.25407,1587.5,326.430166,8473.273332,,,
399,334948.2733,1589,305.4537634,3359.555404,,,
400,65873.41109,1590.5,470.554392,5409.820498,,,
401,293686.8501,1593,303.2468803,3209.072643,,,
402,130503.0622,1596,591.0794933,7012.521571,,,
403,387642.7668,1611.5,411.7309371,9012.0462,,,
404,195700.608,1613,365.7479333,4410.309512,,,
405,156700.1779,1615,315.1644866,12422.09687,,,
406,380528.8205,1622,345.7891477,3711.490721,,,
407,311982.8032,1625,367.4340327,5263.415228,,,
408,6352.783529,1628.5,343.3258707,3810.284723,,,
409,99969.80672,1630.5,330.486776,12166.15783,,,
410,10057.01189,1644.5,229.2771217,2507.987151,,,
411,278055.0101,1645,377.6831372,4361.18939,,,
412,335436.3495,1645.5,341.6958091,3761.953436,,,
413,13612.9132,1648,309.8606418,15125.96912,,,
414,40061.00596,1649.5,350.5796188,11118.78756,,,
415,94060.12794,1654.5,313.6565758,15268.80419,,,
416,193944.0092,1655.5,275.2470363,3260.206075,,,
417,126754.2967,1658,262.9718616,8462.417722,,,
418,309317.3113,1660.5,339.7302604,3760.27807,,,
