Cutoff,downstream_distance,time,radius,cutlen,,,
212,248287.3063,762.5,355.8763434,4363.557122,,,
213,422585.9095,767,421.3958467,4662.065204,,,
214,71134.70392,769.5,366.2508579,8664.584338,,,
215,175019.994,776.5,355.1818921,4311.782652,,,
216,38429.24937,780.5,383.0913674,5211.675453,,,
217,269245.4563,781,335.3999476,3811.616991,,,
218,97185.21174,789.5,375.9179158,4612.084885,,,
219,296187.3723,791.5,377.8335879,4215.770048,,,
220,21034.31195,799.5,363.2921127,4163.406181,,,
221,60418.25278,807.5,622.4310261,8760.997477,,,
222,286413.6819,810,319.5426649,3664.267537,,,
223,367281.5587,811,405.3161278,4011.218966,,,
224,137012.8342,815.5,675.5931178,8460.290782,,,
225,99051.79397,819,367.8843154,4512.206702,,,
226,221049.4468,821.5,502.1004589,6110.606815,,,
227,196467.6873,822,343.258011,6465.536583,,,
228,252535.2514,826,259.7343975,2760.053776,,,
229,26450.40382,826.5,287.6969582,3262.005702,,,
230,193419.6489,827,208.4668158,5615.382553,,,
231,146060.2812,828.5,290.9826485,3412.256139,,,
232,170723.0245,829,260.6040797,2760.187976,,,
233,380231.4344,830,289.3008264,3261.249358,,,
234,28201.92433,836.5,469.6216789,6311.623852,,,
235,251341.2982,837.5,390.9996692,4919.175183,,,
236,82467.21938,841,369.2945817,4411.705294,,,
237,70844.64806,844.5,587.5707999,8061.117479,,,
238,394015.1053,849.5,578.4689642,7862.379181,,,
239,229186.4493,852,330.3451261,3911.727694,,,
240,431075.4031,852.5,639.7028379,7362.768352,,,
241,94703.78723,857,256.8944535,2609.594307,,,
242,6396.012379,858.5,475.6134782,10265.56246,,,
243,195020.1065,859,436.5228961,5062.981075,,,
244,433860.2844,867.5,246.8100558,2813.386594,,,
245,85977.67825,870,322.2432436,3410.86095,,,
246,308256.2842,870.5,559.0779224,19679.13709,,,
247,9100.56602,871,282.2262752,9120.606944,,,
248,393406.3038,876.5,831.7052039,14316.93449,,,
249,385724.4051,887,246.2539891,17198.66099,,,
250,63724.07498,890,247.2150917,2760.788853,,,
251,111308.7584,891,748.9336124,11912.68606,,,
252,284324.1768,893.5,550.5025846,8315.416798,,,
253,278789.577,895,164.3847125,16147.08246,,,
254,302591.0667,898,782.0085387,12664.73021,,,
255,341672.4651,908,268.0924479,2961.012167,,,
256,138545.9705,908.5,293.5768068,3261.253096,,,
257,78252.58974,911,318.9046864,3511.172822,,,
258,261367.1955,915,278.7223931,9874.426692,,,
259,119292.3357,915.5,297.4527041,4462.383273,,,
260,280069.4632,917,516.0436042,5664.690974,,,
261,313906.2666,917.5,417.9760752,4863.49897,,,
262,107103.8392,919,503.0410106,5413.042652,,,
263,315897.0352,919.5,451.5804746,5267.405923,,,
264,29693.74311,921.5,378.869602,22349.10182,,,
265,129266.8658,923.5,448.949899,5111.579936,,,
266,148891.5018,924,465.1538054,6014.58482,,,
267,214488.4415,930,305.7081883,3260.817835,,,
268,195725.6245,935.5,342.1298079,4111.948536,,,
269,314843.3371,941,692.8080824,17073.90049,,,
270,23095.49987,944,221.6785477,2411.87098,,,
271,16219.42627,949,417.5368355,4765.247791,,,
272,155010.4023,951,230.0075899,11825.82029,,,
273,258280.5131,954,302.8545377,5563.996072,,,
274,243655.4326,956.5,432.5028523,6313.823664,,,
275,79999.92843,960,221.7745945,2459.921944,,,
276,8443.137948,970,303.8384868,3461.946243,,,
277,304214.9552,970.5,316.2292905,3412.390345,,,
278,120887.5206,975,296.3486711,12120.38358,,,
279,282475.7718,977.5,280.1904353,3161.409322,,,
280,277854.7565,984,456.2524698,5162.749261,,,
281,143540.8496,987,280.7070318,7770.198922,,,
282,60502.41261,987.5,251.2612125,2911.746571,,,
283,189881.1345,991.5,559.6703721,6261.352452,,,
284,120426.7061,996,567.0293603,6512.301626,,,
285,315482.3518,1004,327.8931082,3560.795187,,,
286,322762.2346,1014.5,344.4886138,4112.081238,,,
287,176032.3412,1018,464.6504284,5661.706653,,,
288,126498.4511,1021.5,451.228751,4861.003998,,,
289,190154.9605,1022,509.5187248,5862.17034,,,
290,70478.10192,1025,360.2342065,5513.195695,,,
291,114619.3098,1032.5,329.7401903,3812.517144,,,
292,13269.094,1033,495.7552625,5712.513394,,,
293,303907.8221,1037.5,316.1696479,3460.980321,,,
294,16133.15126,1038.5,241.6294237,2614.735918,,,
295,25103.57175,1043.5,304.6815758,18236.82138,,,
296,29838.52717,1051.5,663.4271512,7864.133449,,,
297,71991.50056,1056,245.3346029,2862.770696,,,
298,352661.8109,1056.5,486.5403811,6263.481178,,,
299,139589.4008,1057,356.7838003,7966.691006,,,
300,66034.4182,1057.5,443.0814299,5013.642354,,,
301,12268.34151,1059,305.361601,3266.448659,,,
302,273284.5295,1064.5,249.468241,2861.237791,,,
303,221716.4295,1065,342.9305222,3862.236316,,,
304,280335.7999,1073,488.0525669,7210.713796,,,
305,19128.65846,1076,332.4950498,3913.899339,,,
306,178914.9438,1086,347.8038145,3662.012098,,,
307,224493.4484,1086.5,416.3280816,5414.373653,,,
308,308815.7083,1087,272.3711914,2914.25641,,,
309,72153.47799,1087.5,394.7367253,9815.772118,,,
310,109300.3045,1089.5,730.8607773,10963.56809,,,
311,288012.0943,1091.5,324.6481452,3561.390148,,,
312,323726.9852,1098.5,532.1121391,6661.691298,,,
313,86295.16402,1099,270.9177953,2860.568864,,,
314,195155.9605,1108,421.5803037,4911.321167,,,
315,278288.6152,1116.5,403.248536,4962.617459,,,
316,339722.0446,1128.5,552.3935429,6810.679405,,,
317,30261.54728,1130,382.5185743,3961.112956,,,
318,163698.0016,1134.5,369.5064467,4411.968297,,,
319,110130.8043,1135.5,360.3695923,4261.899316,,,
320,114288.122,1138,431.6290673,5211.749428,,,
321,188312.8522,1143,452.9018464,5259.952009,,,
322,356125.184,1144,310.7632002,2860.497593,,,
323,17779.73899,1147,233.0737206,2560.111188,,,
324,312533.3738,1150,444.2474225,6113.538409,,,
325,146691.1844,1162,437.6797086,5712.677783,,,
326,35358.10968,1163,470.2922853,5011.51299,,,
327,60699.33139,1168,422.7649519,7463.247076,,,
328,28092.24024,1169,290.3114125,3314.218855,,,
329,144554.1032,1171,360.55497,3917.756878,,,
330,77588.89547,1179.5,419.7946208,4661.240819,,,
331,212602.8563,1180,518.8301987,13070.31187,,,
332,285409.6931,1183.5,312.5732308,3360.810664,,,
333,39468.15289,1189,655.5512303,10863.79875,,,
334,243734.3062,1189.5,682.6078526,8413.225188,,,
335,247359.3569,1190.5,523.0267964,6265.747611,,,
336,230123.2165,1191.5,402.2200243,4511.735307,,,
337,157919.4854,1196.5,283.6415283,3010.819283,,,
338,132297.9837,1198,471.3872183,5711.856848,,,
339,223746.8995,1201.5,438.2727906,6518.478842,,,
340,210668.9745,1204.5,329.9495553,3915.060141,,,
341,264855.6658,1212,716.4846033,8361.776488,,,
342,305049.1267,1216,342.9311199,3861.846411,,,
343,311101.1424,1216.5,243.8169156,2610.934392,,,
344,134409.0805,1220,419.5700955,4612.541575,,,
345,352697.3423,1231.5,402.1706471,4911.860759,,,
346,250281.7496,1234,292.6053172,4913.69708,,,
347,285524.5101,1237.5,255.7070809,5262.606993,,,
348,25692.8732,1239.5,237.6413993,2710.643361,,,
349,355995.2474,1241,611.0037401,7612.286762,,,
350,209813.9639,1241.5,351.1972245,4063.410592,,,
351,322530.8316,1249,339.7742721,3610.876226,,,
352,140628.8254,1249.5,430.5599022,7117.091453,,,
353,131999.9279,1250,391.668378,4265.648396,,,
354,50309.67911,1252,375.309835,3311.153153,,,
355,149496.3919,1252.5,323.057719,3313.157876,,,
356,174867.0247,1253.5,467.5735427,6613.460394,,,
357,112032.0423,1258,380.9075375,4461.980347,,,
358,161138.9325,1261,270.5432406,2960.972985,,,
359,224411.0196,1262,259.4881177,2810.424106,,,
360,6261.029307,1265.5,482.9530614,6163.120382,,,
361,187301.4567,1267,233.8923737,10665.64613,,,
362,198482.3304,1274.5,375.0190783,4312.538321,,,
363,35076.91387,1276,320.4862326,3461.103003,,,
364,67741.41797,1278.5,597.6996834,9964.861322,,,
365,54663.89097,1280.5,554.4188801,7414.409623,,,
366,57820.9645,1287.5,400.5934653,4367.28519,,,
367,21293.84577,1296.5,245.5643439,12727.56681,,,
368,203743.1808,1300.5,360.8738353,4612.377407,,,
369,32535.73951,1302,428.500864,4914.659913,,,
370,69364.31738,1309.5,436.3896483,5562.990538,,,
371,311002.144,1314.5,327.6604913,3914.2465,,,
372,121411.4855,1319.5,335.735065,3911.561335,,,
373,247038.9916,1325.5,510.2737803,5160.294831,,,
374,67689.32483,1327,419.4664006,4764.186783,,,
375,335613.7446,1334,566.792488,6861.062073,,,
376,284988.9531,1338.5,262.5919427,3061.649498,,,
377,115286.1656,1344,320.6752239,3761.976489,,,
378,32770.70629,1344.5,258.7295765,2962.503288,,,
379,230596.7058,1346,320.1770045,3912.154241,,,
380,247800.2803,1347.5,512.7391139,5912.032887,,,
381,304174.8639,1349,287.7859104,3311.685943,,,
382,156863.3712,1356.5,289.6007545,3110.441633,,,
383,95791.19111,1358,306.159389,3561.906136,,,
384,359921.128,1361.5,310.9118236,3511.316502,,,
385,8266.259747,1362,353.3938912,3911.687904,,,
386,166002.8776,1362.5,392.8793024,4612.282842,,,
387,176442.6706,1376,295.4655607,3311.278244,,,
388,149695.3176,1379,231.2715537,2610.080998,,,
389,60272.60933,1383,329.0288147,3661.842327,,,
390,295924.1625,1384,264.9496499,6762.472987,,,
391,206252.5216,1386,401.7974187,4360.574655,,,
392,104347.0938,1395.5,314.157341,10265.96647,,,
393,132117.3979,1399,309.4937351,3310.660056,,,
394,92734.50871,1400,729.2788788,10063.69326,,,
395,108993.6611,1402.5,267.6317902,2915.640623,,,
396,350056.4627,1403.5,364.8166743,5014.149585,,,
397,277706.6567,1407,427.2068693,5012.777256,,,
398,320121.6423,1407.5,303.8142982,3160.410343,,,
399,337774.0128,1416.5,399.6140911,4410.973946,,,
400,185057.1649,1422,547.7588986,7412.376816,,,
401,124627.1232,1422.5,507.024324,6612.4387,,,
402,347973.61,1423,209.8254923,6564.592516,,,
403,71795.65896,1427,214.9195698,2057.346943,,,
404,336816.3497,1427.5,206.6066566,4965.170921,,,
405,47992.77209,1430.5,372.2649932,4211.002801,,,
406,269221.5817,1431,522.5905354,5510.247581,,,
407,133567.2052,1434,487.6180577,6611.242401,,,
408,223149.6728,1434.5,360.6801465,3962.235144,,,
409,364537.9516,1441,411.1532208,9765.235231,,,
410,161686.3191,1449.5,271.4828386,3011.021019,,,
411,210164.5187,1450.5,589.377536,13715.16842,,,
412,324038.5129,1455,401.6209693,6216.775538,,,
413,276047.6699,1466,472.6673819,4710.538631,,,
414,101050.5648,1471,425.486853,5161.465649,,,
415,44878.70511,1472,310.8448781,3662.073215,,,
416,13024.39292,1472.5,341.5665417,3961.987239,,,
417,64078.47752,1479,524.4073271,6511.211706,,,
418,245320.748,1480.5,300.5995797,9675.085255,,,
419,230086.4748,1486.5,409.6967412,5312.942827,,,
420,83879.05505,1499,712.3628456,8811.932693,,,
421,208662.5019,1501.5,608.0597122,7260.878311,,,
422,59509.30468,1514.5,529.6760492,6962.077197,,,
423,243093.8837,1516,311.5618954,3211.221181,,,
424,78308.66945,1527,328.6381453,3561.676868,,,
425,97645.88692,1539.5,407.8914054,6515.004695,,,
426,43169.34893,1543,318.5447656,10017.58045,,,
427,149257.3874,1548,339.7697196,8320.277576,,,
428,34003.39331,1549.5,608.0663603,7663.212562,,,
429,171973.7522,1555.5,303.7371836,22190.37346,,,
430,3603.154459,1557.5,559.1881187,7413.17021,,,
431,262942.1543,1559,382.6470905,4561.168693,,,
432,9374.252389,1559.5,324.6689024,3413.604157,,,
433,375325.1388,1560,333.2466189,3912.738504,,,
434,292972.4339,1567,465.9033393,5511.33264,,,
435,127222.8783,1569,491.4928184,5510.272606,,,
436,372976.5019,1570,358.1231493,4166.673811,,,
437,258197.0099,1570.5,316.465037,3664.281895,,,
438,346627.0612,1575,377.1861201,4311.874428,,,
439,341859.6647,1577,269.0725312,2862.903376,,,
440,344507.6055,1585.5,311.0527268,3718.253047,,,
441,40221.30963,1589,482.9828809,5560.797823,,,
442,317965.8831,1591.5,512.730198,6963.413047,,,
443,54222.16766,1595,448.2635006,4860.748752,,,
444,203670.1212,1596,579.0093248,6660.478956,,,
