Cutoff,downstream_distance,time
347,0.15078556920085084,3148.5
348,0.38937565822275566,3161.5
349,0.5557451903436521,3163.0
350,0.8698330628110424,3164.0
351,0.4593925554492421,3165.0
352,0.965877767022042,3195.0
353,0.7616439944885433,3197.5
354,0.06942176125738836,3200.5
355,0.25785034306601695,3204.5
356,0.402724634471526,3212.5
357,0.29695048240966737,3228.0
358,0.8243838157018281,3231.0
359,0.7852901735452844,3235.0
360,0.49936487153620013,3264.0
361,0.8500682187653695,3267.0
362,0.7245304519844279,3273.5
363,0.921435149639241,3275.0
364,0.2888996533426085,3277.5
365,0.14185795737444118,3278.5
366,0.616652184488346,3295.0
367,0.7484132251188359,3306.0
368,0.5928605164748896,3309.0
369,0.7217890434329334,3311.5
370,0.8936721571977554,3333.0
371,0.171834429955384,3340.0
372,0.5876497010119476,3344.0
373,0.3842638084651257,3347.0
374,0.9627775979713512,3348.5
375,0.8465792419366166,3349.0
376,0.7183350533102876,3373.5
377,0.589554048373434,3378.5
378,0.02904165660981544,3380.5
379,0.24830709282597987,3383.5
380,0.46195118092327203,3393.5
381,0.023610306742064227,3406.5
382,0.1322294140861522,3411.0
383,0.5108976372540677,3413.5
384,0.6366820769897409,3419.5
385,0.38317821546023606,3423.0
386,0.43860353965738874,3431.0
387,0.8701662966057356,3433.5
388,0.5811831628743672,3444.5
389,0.9773487445019621,3448.5
390,0.8459124568359736,3454.0
391,0.9825650004098632,3458.0
392,0.3613514716064243,3459.0
393,0.9689093363480482,3470.5
394,0.7389477573062848,3478.5
395,0.8202901964481266,3479.0
396,0.23465120336877118,3481.0
397,0.20290593192986747,3489.0
398,0.8391110576159393,3490.0
399,0.5760169925899707,3502.0
400,0.39175882874621887,3510.5
401,0.1652150312390126,3521.5
402,0.617595878985448,3523.5
403,0.42332020642308876,3538.5
404,0.5475041205952348,3565.5
405,0.07615428173882693,3566.0
406,0.33808590668733846,3574.5
407,0.1888372520866059,3601.5
408,0.9707081884624533,3611.0
409,0.6412525542582354,3611.5
410,0.702124602908766,3616.0
411,0.9135066749463139,3616.5
412,0.6887190473323276,3619.0
413,0.040659260091447956,3634.0
414,0.8497488628728277,3647.0
415,0.22017574323227548,3663.5
416,0.25015531807541,3665.0
417,0.42772155219636515,3669.5
418,0.612008647974883,3685.5
419,0.37120801597108655,3688.0
420,0.8741414023384011,3690.5
421,0.8563796304819041,3703.0
422,0.024198231118981887,3706.5
423,0.9691263772895439,3711.0
424,0.5475440548938351,3712.0
425,0.08283393758918844,3715.0
426,0.8239698030735694,3719.5
427,0.3482514605535593,3723.5
428,0.37391710323125193,3736.5
429,0.4618545911249177,3739.0
430,0.7809288769591853,3746.5
431,0.859153320157929,3754.5
432,0.6180873402580267,3760.0
433,0.5408404430918166,3794.5
434,0.11078229163587888,3798.5
435,0.7344254248155181,3804.5
436,0.7020823528075685,3805.5
437,0.0685708778179504,3820.0
438,0.30488384376782257,3821.0
439,0.9219745901174349,3825.0
440,0.12258845059853714,3846.5
